,bg_geoid,hc_pop_total,hc_hu_total,hc_workers_textile_apparel,hc_workers_eat_drink,hc_workers_other_retail,hc_workers_other_service,hc_workers_education,hc_workers_other_mfg,hc_workers_total,hc_families_income_below_1k,hc_families_total,hc_families_nw_income_below_1k,hc_families_nw_total,area_acres,zh_FAR,zh_USE_1,zh_USE_2,zh_USE_3,zh_USE_4,zh_USE_5,zh_USE_6,zh_USE_7,zh_USE_8,zh_USE_9,zh_USE_10,zh_USE_11,zh_USE_12,zh_USE_13,zh_USE_14,zh_USE_15,zh_USE_16,zh_USE_17,zh_USE_18,census_tract,name,oi_kid_stay_share,cbd_distance_miles
27,360050024000,2634.189993930308,707.7842148578429,41.73118665500016,32.06562221906381,77.64780090588785,24.524929016207263,13.838146362723105,122.76477590178733,803.6606201437071,29.401493447626127,624.5111009645096,9.531859350787503,146.2963130979291,532.4315686841056,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36005002400,"Bronx County, NY",,7.814124776717246
28,360050024001,2834.23653829265,740.7904879722655,45.46735550162011,40.305554161195445,82.83947441738296,29.36834331507161,13.359547257947547,128.70317546477665,846.3815846001934,32.46092088626213,666.5958773715267,10.598937825289726,171.78913128131182,379.9206862900391,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,36005002400,"Bronx County, NY",,7.688843298999427
29,360050025001,4964.660356339478,1835.0968336831731,191.64132224454315,88.18779039351212,156.7399549127605,91.99751330777985,23.139813968653154,288.54582164998965,1875.5662616133243,55.483106231013736,1197.5697538534278,11.820782005015657,179.86758824208826,767.0000524335878,2.749693133724083,0.5354950955172022,0.5354950955172022,0.5354950955172022,1.0,1.0,1.0,0.4645049044827978,1.0,1.0,1.0,0.4645049044827978,1.0,0.4645049044827978,0.4645049044827978,0.0,0.4645049044827978,0.0,0.0,36005002500,"Bronx County, NY",0.2559,5.404467594332268
30,360050025002,4600.46800239265,1720.2940034290073,173.96792319954773,81.53346980632817,146.45072013901168,87.28106099602577,21.17928318319415,270.4353945736396,1755.3735218272332,49.8184870006714,1093.4609498751033,9.896915485313178,148.29378148121148,740.7635394451006,2.3236125635631844,0.2311518311165602,0.2311518311165602,0.2311518311165602,1.0,1.0,1.0,0.7688481688834398,1.0,1.0,1.0,0.7688481688834398,1.0,0.7688481688834398,0.7688481688834398,0.0,0.7688481688834398,0.0,0.0,36005002500,"Bronx County, NY",0.2559,5.324598895634616
31,360050025003,5246.329742605972,1918.1469601212536,191.15998661231035,89.24912459933662,157.68965287100917,94.47652396960251,24.357002289036544,297.94261878330195,1897.5294359661832,61.50748745148789,1258.828636394852,15.589975589874772,231.08229044587526,909.2417348376332,3.109777445070382,0.7926981750502727,0.7926981750502727,0.7926981750502727,1.0,1.0,1.0,0.2073018249497272,1.0,1.0,1.0,0.2073018249497272,1.0,0.2073018249497272,0.2073018249497272,0.0,0.2073018249497272,0.0,0.0,36005002500,"Bronx County, NY",0.2559,5.344819792068798
32,360050025004,5557.820523412001,2024.9424231952382,203.6700548280665,96.32994284389987,166.31579562819584,102.3561940540163,25.159244699048234,315.5665805305318,2032.268912706291,63.582770157110346,1328.7036984506146,17.2410152734699,248.37140425900958,705.975463118617,2.9698350655372376,0.6927393325265986,0.6927393325265986,0.6927393325265986,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.3072606674734013,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.3072606674734013,0.9999999999999999,0.3072606674734013,0.3072606674734013,0.0,0.3072606674734013,0.0,0.0,36005002500,"Bronx County, NY",0.2559,5.33280646820949
33,360050025005,5298.98052307682,1959.9986332754359,195.7448825367734,92.75509548684327,162.50957738928582,98.54443226356524,23.831584824010886,302.8266588117937,1962.9091982383293,59.95566836761848,1268.1488706797863,15.508749194527471,221.19143847954686,721.3415787884203,2.7398491369775795,0.5284636692696996,0.5284636692696996,0.5284636692696996,1.0,1.0,1.0,0.47153633073030043,1.0,1.0,1.0,0.47153633073030043,1.0,0.47153633073030043,0.47153633073030043,0.0,0.47153633073030043,0.0,0.0,36005002500,"Bronx County, NY",0.2559,5.31788676497784
34,360050027011,4162.939788812121,1571.9663773849613,166.41461727421594,75.10394428588647,136.7505028708452,82.07744234212474,20.385581448877613,256.35782077588067,1651.198995097713,45.7317150672071,1017.0180712903915,7.298388996453242,122.1242073076049,663.0357292690975,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,36005002701,"Bronx County, NY",0.1659,5.422650470443298
35,360050027012,4576.250446106336,1724.8796005335498,180.821982505316,82.65842727523366,149.56266146655847,88.19401605744594,21.997414948102605,275.8198405317236,1785.597209026569,50.194210338805306,1110.0435396485832,8.804791738787426,139.15034897844606,713.0969162982634,2.2151761559892296,0.1536972542780212,0.1536972542780212,0.1536972542780212,1.0,1.0,1.0,0.8463027457219788,1.0,1.0,1.0,0.8463027457219788,1.0,0.8463027457219788,0.8463027457219788,0.0,0.8463027457219788,0.0,0.0,36005002701,"Bronx County, NY",0.1659,5.426806205290744
36,360050027021,4773.938727719358,1789.1122012773808,207.78568456440087,87.80722624004567,158.31097600340146,93.93465791204468,23.05692253868011,286.4083940559757,1880.8696378371471,53.74251963394359,1180.0456059882247,8.268507391981169,141.27383708626348,742.3630632464261,2.4211930559918513,0.3008521828513225,0.3008521828513225,0.3008521828513225,1.0,1.0,1.0,0.6991478171486775,1.0,1.0,1.0,0.6991478171486775,1.0,0.6991478171486775,0.6991478171486775,0.0,0.6991478171486775,0.0,0.0,36005002702,"Bronx County, NY",0.2336,5.56984428061048
