"","county_fips","naics","count_sg","count_cbp","naics_factor"
"485","12091","61",66,55,"61"
"486","12091","62",394,621,"62"
"487","12091","71",192,100,"71"
"488","12091","72",660,547,"72"
"489","12091","81",528,503,"81"
"490","12095","22",11,30,"22"
"491","12095","23",39,3909,"23"
"492","12095","31-33",233,815,"31-33"
"493","12095","42",204,1941,"42"
"494","12095","44-45",6113,4904,"44-45"
"495","12095","48-49",354,1359,"48-49"
"496","12095","51",384,906,"51"
"497","12095","52",1615,2083,"52"
"498","12095","53",970,3119,"53"
"499","12095","54",463,5871,"54"
"500","12095","55",15,370,"55"
"501","12095","56",332,2668,"56"
"502","12095","61",702,591,"61"
"503","12095","62",3196,3789,"62"
"504","12095","71",1104,810,"71"
"505","12095","72",4482,3475,"72"
"506","12095","81",3656,3013,"81"
"507","12097","22",7,8,"22"
"508","12097","23",8,910,"23"
"509","12097","31-33",29,102,"31-33"
"510","12097","42",30,168,"42"
"511","12097","44-45",1141,971,"44-45"
"512","12097","48-49",59,282,"48-49"
"513","12097","51",79,119,"51"
"514","12097","52",272,286,"52"
"515","12097","53",285,640,"53"
"516","12097","54",97,549,"54"
"517","12097","55",3,13,"55"
"518","12097","56",58,491,"56"
"519","12097","61",131,95,"61"
"520","12097","62",673,734,"62"
"521","12097","71",211,96,"71"
"522","12097","72",979,773,"72"
"523","12097","81",706,583,"81"
"524","12099","11",1,179,"11"
"525","12099","22",7,77,"22"
"526","12099","23",65,4866,"23"
"527","12099","31-33",215,949,"31-33"
"528","12099","42",206,2295,"42"
"529","12099","44-45",6297,5560,"44-45"
"530","12099","48-49",258,1071,"48-49"
"531","12099","51",330,806,"51"
"532","12099","52",2074,3169,"52"
"533","12099","53",2215,3297,"53"
"534","12099","54",521,8606,"54"
"535","12099","55",3,262,"55"
"536","12099","56",343,3689,"56"
"537","12099","61",615,659,"61"
"538","12099","62",4862,5997,"62"
"539","12099","71",1443,982,"71"
"540","12099","72",3336,3101,"72"
"541","12099","81",3909,4318,"81"
"542","12101","22",4,24,"22"
"543","12101","23",17,1195,"23"
"544","12101","31-33",51,240,"31-33"
"545","12101","42",65,356,"42"
"546","12101","44-45",1933,1489,"44-45"
"547","12101","48-49",71,285,"48-49"
"548","12101","51",104,155,"51"
"549","12101","52",480,556,"52"
"550","12101","53",245,617,"53"
"551","12101","54",146,1163,"54"
"552","12101","55",5,29,"55"
"553","12101","56",89,761,"56"
"554","12101","61",216,133,"61"
"555","12101","62",1179,1359,"62"
"556","12101","71",319,148,"71"
"557","12101","72",978,748,"72"
"558","12101","81",1217,877,"81"
"559","12103","22",5,44,"22"
"560","12103","23",40,2522,"23"
"561","12103","31-33",204,1041,"31-33"
"562","12103","42",157,1289,"42"
"563","12103","44-45",4760,3679,"44-45"
"564","12103","48-49",137,480,"48-49"
"565","12103","51",230,489,"51"
"566","12103","52",1252,1959,"52"
"567","12103","53",621,2042,"53"
"568","12103","54",357,4371,"54"
"569","12103","55",9,148,"55"
"570","12103","56",211,1848,"56"
"571","12103","61",429,395,"61"
"572","12103","62",3003,3582,"62"
"573","12103","71",1061,521,"71"
"574","12103","72",2988,2385,"72"
"575","12103","81",2889,2582,"81"
"576","12105","11",1,37,"11"
"577","12105","22",16,26,"22"
"578","12105","23",13,1447,"23"
"579","12105","31-33",49,403,"31-33"
"580","12105","42",87,611,"42"
"581","12105","44-45",2212,1829,"44-45"
"582","12105","48-49",94,529,"48-49"
"583","12105","51",139,170,"51"
"584","12105","52",523,693,"52"
"585","12105","53",231,765,"53"
"586","12105","54",179,1126,"54"
"587","12105","55",3,61,"55"
"588","12105","56",103,809,"56"
"589","12105","61",268,159,"61"
"590","12105","62",1126,1205,"62"
"591","12105","71",354,150,"71"
"592","12105","72",1163,931,"72"
"593","12105","81",1353,1177,"81"
"594","12109","22",1,6,"22"
"595","12109","23",11,681,"23"
"596","12109","31-33",25,106,"31-33"
"597","12109","42",30,228,"42"
"598","12109","44-45",975,897,"44-45"
"599","12109","48-49",35,164,"48-49"
"600","12109","51",43,94,"51"
"601","12109","52",275,385,"52"
"602","12109","53",174,525,"53"
"603","12109","54",74,1036,"54"
"604","12109","55",1,23,"55"
"605","12109","56",44,466,"56"
"606","12109","61",113,103,"61"
"607","12109","62",547,731,"62"
"608","12109","71",286,131,"71"
"609","12109","72",756,639,"72"
"610","12109","81",535,576,"81"
"611","12111","22",6,13,"22"
"612","12111","23",14,960,"23"
"613","12111","31-33",36,157,"31-33"
"614","12111","42",45,275,"42"
"615","12111","44-45",1009,762,"44-45"
"616","12111","48-49",42,192,"48-49"
"617","12111","51",65,79,"51"
"618","12111","52",242,256,"52"
"619","12111","53",218,322,"53"
"620","12111","54",76,592,"54"
"621","12111","55",2,21,"55"
"622","12111","56",70,483,"56"
"623","12111","61",108,71,"61"
"624","12111","62",647,831,"62"
"625","12111","71",240,88,"71"
"626","12111","72",609,466,"72"
"627","12111","81",597,536,"81"
"628","12113","22",3,16,"22"
"629","12113","23",6,438,"23"
"630","12113","31-33",10,51,"31-33"
"631","12113","42",13,74,"42"
"632","12113","44-45",521,392,"44-45"
"633","12113","48-49",19,59,"48-49"
"634","12113","51",22,38,"51"
"635","12113","52",112,158,"52"
"636","12113","53",70,225,"53"
"637","12113","54",46,346,"54"
"638","12113","55",1,6,"55"
"639","12113","56",22,190,"56"
"640","12113","61",53,34,"61"
"641","12113","62",249,320,"62"
"642","12113","71",104,41,"71"
"643","12113","72",301,238,"72"
"644","12113","81",403,283,"81"
"645","12115","11",1,10,"11"
"646","12115","22",1,15,"22"
"647","12115","23",17,1887,"23"
"648","12115","31-33",71,349,"31-33"
"649","12115","42",70,490,"42"
"650","12115","44-45",2274,1742,"44-45"
"651","12115","48-49",73,188,"48-49"
"652","12115","51",81,203,"51"
"653","12115","52",650,881,"52"
"654","12115","53",311,1079,"53"
"655","12115","54",158,1926,"54"
"656","12115","55",3,58,"55"
"657","12115","56",135,1191,"56"
"658","12115","61",167,170,"61"
"659","12115","62",1434,1631,"62"
"660","12115","71",496,232,"71"
"661","12115","72",1239,962,"72"
"662","12115","81",1345,1305,"81"
"663","12117","22",1,17,"22"
"664","12117","23",12,1659,"23"
"665","12117","31-33",76,379,"31-33"
"666","12117","42",65,684,"42"
"667","12117","44-45",2030,1695,"44-45"
"668","12117","48-49",99,235,"48-49"
"669","12117","51",109,298,"51"
"670","12117","52",595,985,"52"
"671","12117","53",293,890,"53"
"672","12117","54",168,2072,"54"
"673","12117","55",4,101,"55"
"674","12117","56",119,1009,"56"
"675","12117","61",224,223,"61"
"676","12117","62",1346,1461,"62"
"677","12117","71",441,233,"71"
"678","12117","72",1064,934,"72"
"679","12117","81",1336,1118,"81"
"680","12119","31-33",3,40,"31-33"
"681","12119","42",7,58,"42"
"682","12119","44-45",232,242,"44-45"
"683","12119","48-49",11,43,"48-49"
"684","12119","51",12,12,"51"
"685","12119","52",71,113,"52"
"686","12119","53",56,172,"53"
"687","12119","54",20,152,"54"
"688","12119","56",9,101,"56"
"689","12119","61",7,12,"61"
"690","12119","62",229,235,"62"
"691","12119","71",46,21,"71"
"692","12119","72",136,145,"72"
"693","12119","81",127,132,"81"
"694","12127","22",7,22,"22"
"695","12127","23",15,1672,"23"
"696","12127","31-33",83,352,"31-33"
"697","12127","42",89,457,"42"
"698","12127","44-45",2423,1993,"44-45"
"699","12127","48-49",75,256,"48-49"
"700","12127","51",117,197,"51"
"701","12127","52",563,681,"52"
"702","12127","53",356,788,"53"
"703","12127","54",149,1387,"54"
"704","12127","55",5,37,"55"
"705","12127","56",109,926,"56"
"706","12127","61",196,155,"61"
"707","12127","62",1401,1474,"62"
"708","12127","71",526,235,"71"
"709","12127","72",1403,1217,"72"
"710","12127","81",1396,1338,"81"
"711","12131","22",1,16,"22"
"712","12131","23",3,383,"23"
"713","12131","31-33",9,32,"31-33"
"714","12131","42",8,62,"42"
"715","12131","44-45",300,418,"44-45"
"716","12131","48-49",6,50,"48-49"
"717","12131","51",2,36,"51"
"718","12131","52",46,107,"52"
"719","12131","53",47,358,"53"
"720","12131","54",15,287,"54"
"721","12131","56",16,166,"56"
"722","12131","61",9,12,"61"
"723","12131","62",76,153,"62"
"724","12131","71",31,39,"71"
"725","12131","72",221,256,"72"
"726","12131","81",75,177,"81"
"727","13013","23",1,199,"23"
"728","13013","31-33",1,70,"31-33"
"729","13013","44-45",51,181,"44-45"
"730","13013","48-49",2,44,"48-49"
"731","13013","52",16,64,"52"
"732","13013","53",5,64,"53"
"733","13013","54",6,111,"54"
"734","13013","56",5,83,"56"
"735","13013","61",6,19,"61"
"736","13013","62",18,103,"62"
"737","13013","71",13,16,"71"
"738","13013","72",29,102,"72"
"739","13013","81",45,151,"81"
"740","13015","22",1,5,"22"
"741","13015","31-33",1,133,"31-33"
"742","13015","44-45",62,333,"44-45"
"743","13015","48-49",1,64,"48-49"
"744","13015","51",1,25,"51"
"745","13015","52",5,131,"52"
"746","13015","53",4,108,"53"
"747","13015","56",5,104,"56"
"748","13015","61",7,25,"61"
"749","13015","62",3,216,"62"
"750","13015","71",12,31,"71"
"751","13015","72",18,208,"72"
"752","13015","81",17,213,"81"
"753","13021","22",2,14,"22"
"754","13021","23",7,198,"23"
"755","13021","31-33",24,114,"31-33"
"756","13021","42",32,207,"42"
"757","13021","44-45",823,750,"44-45"
"758","13021","48-49",25,104,"48-49"
"759","13021","51",45,90,"51"
"760","13021","52",242,295,"52"
"761","13021","53",59,198,"53"
"762","13021","54",53,358,"54"
"763","13021","55",1,33,"55"
"764","13021","56",25,196,"56"
"765","13021","61",86,45,"61"
"766","13021","62",436,610,"62"
"767","13021","71",93,40,"71"
"768","13021","72",456,443,"72"
"769","13021","81",477,401,"81"
"770","13027","44-45",4,40,"44-45"
"771","13027","48-49",1,8,"48-49"
"772","13027","52",1,14,"52"
"773","13027","62",1,21,"62"
"774","13027","81",2,36,"81"
"775","13029","31-33",1,15,"31-33"
"776","13029","42",3,22,"42"
"777","13029","44-45",90,104,"44-45"
"778","13029","48-49",4,27,"48-49"
"779","13029","51",4,8,"51"
"780","13029","52",23,33,"52"
"781","13029","53",17,49,"53"
"782","13029","54",9,73,"54"
"783","13029","56",1,40,"56"
"784","13029","61",6,4,"61"
"785","13029","62",54,75,"62"
"786","13029","71",25,11,"71"
"787","13029","72",79,85,"72"
"788","13029","81",60,75,"81"
"789","13035","44-45",3,74,"44-45"
"790","13035","62",1,31,"62"
"791","13035","72",1,39,"72"
"792","13035","81",3,50,"81"
"793","13045","23",1,226,"23"
"794","13045","31-33",5,105,"31-33"
"795","13045","42",1,90,"42"
"796","13045","44-45",123,379,"44-45"
"797","13045","48-49",9,60,"48-49"
"798","13045","51",6,31,"51"
"799","13045","52",36,144,"52"
"800","13045","53",10,105,"53"
"801","13045","54",13,151,"54"
"802","13045","56",7,101,"56"
"803","13045","61",12,16,"61"
"804","13045","62",63,222,"62"
"805","13045","71",22,20,"71"
"806","13045","72",82,232,"72"
"807","13045","81",87,232,"81"
"808","13047","23",3,83,"23"
"809","13047","31-33",4,42,"31-33"
"810","13047","42",3,44,"42"
"811","13047","44-45",252,189,"44-45"
"812","13047","48-49",11,27,"48-49"
"813","13047","51",11,18,"51"
"814","13047","52",58,57,"52"
"815","13047","53",44,42,"53"
"816","13047","54",17,73,"54"
